card_id,customer_id,card_type_id,card_number,expiration_date,credit_limit,current_balance,issue_date
1,1,1,5208-9841-2836-2158,06/27,2500.0,372.66,2022-11-18
2,1,2,5527-2892-1451-7221,12/26,5000.0,439.12999999999994,2025-02-21
3,2,5,5532-0915-1088-6561,12/27,66300.0,4550.66,2022-09-07
4,2,3,6448-4256-8105-8127,10/26,14000.0,1020.5799999999999,2022-12-05
5,2,4,5590-7634-1982-4107,07/25,41500.0,2614.39,2022-09-05
6,3,3,4134-6744-9545-4187,10/27,16800.0,4130.22,2024-03-11
7,4,3,5450-7898-7303-2400,07/26,15900.0,1218.84,2022-11-05
8,5,1,3422-4397-6152-4214,09/26,3600.0,857.52,2024-08-02
9,5,3,6441-4683-3322-5421,10/26,15200.0,785.7,2023-03-23
10,6,2,4097-7682-8325-4052,03/28,5600.0,200.54000000000002,2023-07-27
11,6,1,6011-8853-2495-0819,12/25,4000.0,1516.6100000000001,2024-11-25
12,6,3,3461-5688-1517-9563,08/25,14600.0,1999.7,2025-01-16
13,7,3,3454-5145-5414-5546,01/26,10800.0,1389.43,2023-07-23
14,8,2,3415-7778-7157-1744,05/26,8900.0,1736.1899999999998,2023-11-17
15,8,1,6449-6663-7571-7491,04/26,3200.0,642.3599999999999,2022-09-29
16,8,5,4746-0365-7306-2353,07/27,86300.0,2818.55,2025-02-10
17,9,2,3498-2928-1981-8406,10/25,4900.0,3433.9899999999993,2023-03-10
18,10,2,5388-2883-1924-4247,10/25,9900.0,568.9300000000001,2024-09-29
19,10,1,5345-9643-4304-4129,05/27,3200.0,1331.33,2024-12-08
20,11,2,3728-7340-2801-9898,06/28,7700.0,674.52,2023-07-18
21,11,4,5446-1294-7489-1524,10/26,27300.0,336.78,2023-10-12
22,11,5,6448-7154-8223-9937,09/25,65000.0,821.4,2023-02-04
23,12,3,3425-8137-6487-3488,10/27,18900.0,965.5799999999999,2024-08-12
24,13,2,5377-9094-6981-3135,03/28,8500.0,996.74,2024-07-20
25,13,4,6446-8357-0483-7350,05/28,46000.0,1432.33,2022-10-10
26,13,1,6588-1816-4065-7596,06/26,1200.0,979.6399999999999,2024-04-22
27,14,1,6011-4885-5270-1764,05/28,4400.0,3359.2700000000004,2024-04-27
28,14,4,6011-7830-2299-2045,04/28,29800.0,3609.6800000000003,2024-08-26
29,15,2,4373-9612-4148-0181,08/25,8000.0,3421.0899999999997,2023-02-16
30,16,2,5292-5718-1890-0074,10/27,8300.0,43.69999999999999,2024-10-30
31,17,1,4509-4477-9003-0679,03/26,4500.0,720.4300000000001,2023-09-19
32,18,3,5415-2778-7845-3326,01/28,20200.0,3709.8199999999997,2024-12-03
33,18,2,5203-0684-9007-3612,08/25,6600.0,1149.21,2024-12-19
34,19,3,5310-0564-2321-2818,12/26,15500.0,1573.69,2022-09-10
35,19,1,5298-8810-8025-8201,06/27,2300.0,2096.4900000000002,2023-07-23
36,19,5,3797-2844-7393-7275,06/28,58700.0,4150.35,2024-10-28
37,20,1,5382-7527-2716-5070,12/25,1500.0,1279.2500000000002,2023-07-23
38,20,2,6519-6468-2367-0004,10/26,8700.0,1900.54,2022-11-08
39,20,5,6503-6878-9973-5215,08/27,77800.0,1341.13,2024-05-20
40,21,4,4861-1029-9631-3815,06/28,36100.0,2612.63,2024-10-11
41,21,1,6554-0876-7506-9378,10/26,2700.0,1594.2200000000003,2023-03-08
42,22,1,5283-1456-1347-3722,08/25,4500.0,971.2800000000001,2023-09-04
43,23,1,5254-2419-1510-4093,06/27,4100.0,733.61,2022-06-03
44,24,5,3705-6086-7082-4479,02/27,51000.0,1470.0800000000002,2023-11-03
45,24,4,5264-1067-3979-6664,02/26,33900.0,1566.3199999999997,2022-10-02
46,24,3,5258-7728-7650-9364,12/26,24100.0,890.7599999999999,2023-05-19
47,25,1,3744-2887-7185-2048,08/27,1800.0,1807.2,2023-09-22
48,26,2,5376-1891-6641-6640,03/27,6300.0,2006.39,2024-12-29
49,27,2,5337-8694-1629-5229,02/26,4600.0,3259.17,2022-10-12
50,28,3,3408-4957-0292-9341,09/25,14000.0,6386.119999999999,2022-07-13
51,28,4,3440-7326-5033-4519,04/27,42400.0,1533.2,2023-10-28
52,29,5,6011-7101-7030-7593,07/25,96500.0,2914.33,2024-11-25
53,29,1,5339-6070-7121-0059,11/25,4500.0,1531.1199999999997,2025-02-23
54,30,3,5111-8420-5825-8871,06/27,15800.0,700.64,2024-04-01
